month_year,Lat,Lon,cv_y,mean_y,median_y,std_y,value_y
Apr 2024,-41.719,-44.426,0.2872938,0.44375476,0.3930893,0.12748799,chlor_a
Apr 2024,-41.599,-44.282,0.16045527,0.37597695,0.3620295,0.06032748,chlor_a
Apr 2024,-41.481,-44.145,0.16330303,0.32622862,0.32404646,0.053274125,chlor_a
Apr 2024,-41.371,-44.014,0.16967137,0.31421196,0.3011405,0.053312775,chlor_a
Apr 2024,-41.37,-44.013,0.16967137,0.31421196,0.3011405,0.053312775,chlor_a
Apr 2024,-41.289,-43.927,0.092686355,0.29214,0.29447275,0.027077392,chlor_a
Apr 2024,-41.146,-43.77,0.15595444,0.33430833,0.3119129,0.052136865,chlor_a
Apr 2024,-41.02,-43.632,0.19185106,0.30992648,0.2929592,0.059459727,chlor_a
Apr 2024,-40.916,-43.52,0.10986795,0.28548315,0.27551162,0.03136545,chlor_a
Apr 2024,-40.796,-43.389,0.15469818,0.2911547,0.29540277,0.045041103,chlor_a
Apr 2024,-40.65,-43.23,0.16765948,0.28966781,0.27355716,0.048565555,chlor_a
Apr 2024,-40.565,-43.133,0.1753425,0.29242867,0.2634386,0.051275175,chlor_a
Apr 2024,-40.52,-43.082,0.15445562,0.27206784,0.25962952,0.042022407,chlor_a
Apr 2024,-40.492,-42.079,0.31589788,0.29616112,0.29628474,0.093556665,chlor_a
Apr 2024,-40.373,-42.903,0.11486069,0.26920432,0.2632401,0.030920994,chlor_a
Apr 2024,-40.269,-42.775,0.2874613,0.25113735,0.2496441,0.072192274,chlor_a
Apr 2024,-40.158,-42.636,0.29103854,0.24537306,0.20786156,0.07141302,chlor_a
Apr 2024,-40.06,-42.51,0.36545724,0.25203326,0.22338109,0.09210738,chlor_a
Apr 2024,-39.957,-42.398,0.3634619,0.23826747,0.22611614,0.086601146,chlor_a
Apr 2024,-39.855,-42.273,0.39921817,0.24550433,0.205428,0.098009795,chlor_a
Apr 2024,-39.759,-42.158,0.23511544,0.32928178,0.33933377,0.07741923,chlor_a
Apr 2024,-39.664,-42.041,0.292729,0.28032738,0.2826075,0.08205995,chlor_a
Apr 2024,-39.57,-41.923,0.20751448,0.24125917,0.24135554,0.050064772,chlor_a
Apr 2024,-39.538,-41.068,0.31032163,0.26942033,0.2971497,0.08360696,chlor_a
Apr 2024,-39.472,-41.803,0.20150407,0.26867694,0.2663016,0.054139495,chlor_a
Apr 2024,-39.389,-41.703,0.35211995,0.22958143,0.20923105,0.0808402,chlor_a
Apr 2024,-39.278,-41.566,0.36673802,0.20603028,0.17071585,0.07555914,chlor_a
Apr 2024,-39.21,-41.475,0.3382287,0.19973981,0.20794338,0.06755774,chlor_a
Apr 2024,-39.209,-41.475,0.3382287,0.19973981,0.20794338,0.06755774,chlor_a
Apr 2024,-39.167,-41.396,0.35797298,0.21444398,0.17797133,0.07676515,chlor_a
Apr 2024,-39.106,-41.282,0.35061154,0.23850636,0.17814593,0.08362308,chlor_a
Apr 2024,-39.028,-41.163,0.41920817,0.21679588,0.1643915,0.0908826,chlor_a
Apr 2024,-38.839,-40.942,0.0,0.2139105,0.2139105,0.0,chlor_a
Apr 2024,-38.723,-40.81,0.17106554,0.16778609,0.16931859,0.028702417,chlor_a
Apr 2024,-38.609,-40.687,0.23857054,0.15172306,0.14129981,0.036196653,chlor_a
Apr 2024,-38.584,-40.654,0.20104341,0.16660321,0.16674182,0.033494476,chlor_a
Apr 2024,-38.57,-40.629,0.20104341,0.16660321,0.16674182,0.033494476,chlor_a
