month_year,Lat,Lon,cv_y,mean_y,median_y,std_y,value_y
Apr 2024,-40.65,-43.23,0.1723098,74.51416,74.799805,12.83952,poc
Apr 2024,-40.565,-43.133,0.16727069,75.07988,70.799805,12.558663,poc
Apr 2024,-40.52,-43.082,0.15779273,70.549866,68.5,11.1322565,poc
Apr 2024,-40.492,-42.079,0.28147072,76.54993,78.19995,21.546562,poc
Apr 2024,-40.373,-42.903,0.11536089,70.085655,68.0,8.085144,poc
Apr 2024,-40.269,-42.775,0.24361609,66.19995,62.19995,16.127373,poc
Apr 2024,-40.158,-42.636,0.28148142,63.799904,53.600098,17.958487,poc
Apr 2024,-40.06,-42.51,0.3019953,67.679886,53.0,20.439009,poc
Apr 2024,-39.957,-42.398,0.3062385,62.899982,53.80005,19.262396,poc
Apr 2024,-39.855,-42.273,0.34327835,64.9999,51.0,22.313059,poc
Apr 2024,-39.759,-42.158,0.23245229,82.86654,88.3999,19.262516,poc
Apr 2024,-39.664,-42.041,0.2770189,72.44995,72.5,20.070005,poc
Apr 2024,-39.57,-41.923,0.19618377,63.679882,59.799805,12.492959,poc
Apr 2024,-39.538,-41.068,0.28075173,71.11983,78.799805,19.967014,poc
Apr 2024,-39.472,-41.803,0.1867065,73.07988,75.0,13.644488,poc
Apr 2024,-39.389,-41.703,0.27288687,62.733234,53.599854,17.119076,poc
Apr 2024,-39.278,-41.566,0.25583798,59.039845,51.399902,15.104635,poc
Apr 2024,-39.21,-41.475,0.22711562,58.639843,54.0,13.318024,poc
Apr 2024,-39.209,-41.475,0.22711562,58.639843,54.0,13.318024,poc
Apr 2024,-39.167,-41.396,0.29406136,59.533203,49.399902,17.506414,poc
Apr 2024,-39.106,-41.282,0.30789438,65.03984,51.399902,20.025402,poc
Apr 2024,-39.028,-41.163,0.34986165,59.799805,46.199707,20.921658,poc
Apr 2024,-38.839,-40.942,0.0,52.799805,52.799805,0.0,poc
Apr 2024,-38.723,-40.81,0.06372974,47.099854,47.099854,3.0016613,poc
Apr 2024,-38.609,-40.687,0.040289894,46.749878,45.799805,1.8835475,poc
Apr 2024,-38.584,-40.654,0.09149582,47.849976,47.099854,4.3780727,poc
Apr 2024,-38.57,-40.629,0.09149582,47.849976,47.099854,4.3780727,poc
Apr 2024,-38.467,-40.508,0.10580713,48.999836,46.600098,5.184532,poc
Apr 2024,-38.349,-40.373,0.114819795,46.33317,43.399902,5.3199654,poc
Apr 2024,-38.252,-40.258,0.07060957,45.94995,47.0,3.2445064,poc
Apr 2024,-38.132,-40.119,0.05926483,47.839943,47.799805,2.835226,poc
Apr 2024,-38.012,-39.98,0.15060253,49.533123,46.499756,7.459814,poc
Apr 2024,-37.9,-39.85,0.06514858,48.49992,47.899902,3.1597006,poc
Apr 2024,-37.782,-39.717,0.17262672,55.771416,54.600098,9.627637,poc
Apr 2024,-37.681,-39.598,0.18915872,56.719826,53.399902,10.72905,poc
Apr 2024,-37.55,-39.448,0.20830795,61.33317,67.19971,12.776187,poc
Apr 2024,-37.41,-39.287,0.16660771,54.599903,53.399902,9.096765,poc
Apr 2024,-37.326,-39.188,0.12008557,51.6333,50.19995,6.200414,poc
Apr 2024,-37.188,-39.036,0.15831137,51.974854,50.299805,8.22821,poc
Apr 2024,-37.083,-38.905,0.119974926,50.911026,50.399902,6.1080465,poc
Apr 2024,-37.012,-38.835,0.16853203,53.674866,50.099854,9.045934,poc
Apr 2024,-36.927,-38.728,0.07600766,51.82216,50.600098,3.9388807,poc
Apr 2024,-36.688,-38.461,0.10597313,52.779884,51.999756,5.59325,poc
Apr 2024,-36.564,-38.32,0.08016309,48.75991,47.0,3.9087453,poc
Apr 2024,-36.449,-38.184,0.1187588,44.733234,45.199707,5.312465,poc
Apr 2024,-36.334,-38.059,0.15238148,43.599934,41.499756,6.6438227,poc
Apr 2024,-36.202,-37.907,0.08140378,40.733234,41.299805,3.315839,poc
Apr 2024,-36.167,-37.866,0.047004372,41.579933,41.899902,1.9544387,poc
Apr 2024,-36.144,-37.843,0.047004372,41.579933,41.899902,1.9544387,poc
Apr 2024,-36.018,-37.7,0.07583933,41.288845,41.199707,3.1313183,poc
Apr 2024,-35.88,-37.54,0.04708938,41.319923,41.799805,1.9457295,poc
Apr 2024,-35.759,-37.402,0.058432005,39.399902,38.69995,2.3022153,poc
Apr 2024,-35.638,-37.265,0.05333144,37.666504,37.299805,2.0088089,poc
Apr 2024,-35.52,-37.142,0.022388322,37.099976,37.19995,0.8306062,poc
Apr 2024,-35.404,-37.009,0.027180275,37.69995,37.80005,1.024695,poc
