Cruise,Latitude (degrees N),Longitude (degrees E),Depth,Prochlorococcus carbon (mgC m^-3),Synechococcus carbon,Picoeukaryote carbon,Nanoeukaryote carbon,Cryptophyte carbon,Coccolithophore carbon,Summed phytoplankton carbon from flow cytometry
AMT18,49.4824,-9.8475,3.3,0,1.81369133901586,1.91806678843609,5.98969099847295,1.04095034759728,0.669824030756701,11.4322235042789
AMT18,49.3645,-11.5177,4.5,2.42118851037824,4.31719143036148,3.74998237821237,9.82712299902366,0.35486943668089,2.11252194315575,22.7828766978124
AMT18,49.1492,-14.6524,5.6,1.44194616149722,2.48651543264248,2.54430291270432,10.3857944835907,0.615107023580209,1.41693544967764,18.8906014636926
AMT18,48.866,-16.1938,3.9,0.964198221264553,1.72452188082438,3.76922427029882,27.2650001566574,0.70973887336178,2.26709671948422,36.6997801218912
AMT18,46.5907,-18.6966,4.1,1.48640913351592,1.21671918709759,2.44940539945976,10.0835623689889,0.141947774672356,1.05626097157787,16.4343048353124
AMT18,42.673,-22.1949,3.7,3.84837240145087,0.159810197797716,0.575507499676674,6.06295938989158,0,0.154574776328469,10.8012242651453
AMT18,38.882,-25.3242,4,5.15914927227801,1.48326252424571,0.38527515745832,3.47109004345756,0.0236579624453927,0.128812313607058,10.6512472734921
AMT18,36.0117,-27.7373,3.2,4.07424570859184,0.246277551195514,0.296937380152326,2.34458852539614,0,0.257624627214116,7.21967379254994
AMT18,35.3137,-28.466,3.7,3.90868984051269,0.245119506283936,0.229590757849737,2.33542997646881,0,0.386436940821174,7.10526702193635
AMT18,33.2979,-30.7968,4,3.33828134845024,0.321743477933324,0.239211703892964,2.25300303612285,0,0.103049850885646,6.25528941728502
AMT18,32.49,-31.7102,6.8,2.29949666778506,0.265385292236545,0.259328227437893,1.42873363266327,0,0.412199403542585,4.66514322366535
AMT18,30.4724,-33.9513,3.5,2.47407196600429,0.387559030407987,0.257141648791705,1.91413672581169,0,0.180337239049881,5.21324661006556
AMT18,29.6697,-34.8335,5.3,1.87692227286245,0.308425961450181,0.298686643069277,1.65769735584649,0,0.206099701771293,4.34783193499969
AMT18,27.6318,-37.0306,2.9,2.94311756543773,0.1692675645756,0.290814959943,2.08814915543094,0,0.0515249254428231,5.54287417083009
AMT18,24.7443,-40.0885,3.5,3.12981272290771,0.24801461856288,0.301310537444702,2.19805174255888,0,0.128812313607058,6.00600193508123
AMT18,24.7382,-40.0701,5.8,2.84545404845212,NaN,0.368657159747292,2.09730770435826,0.0236579624453927,0.206099701771293,5.54117657677436
AMT18,22.5997,-40.2659,3.8,3.22567940029511,0.184901170881898,0.399706576523161,3.14138228207373,0,0.231862164492704,7.1835315942666
AMT18,21.6732,-39.5964,5,2.95266547781259,0.233153042197634,0.375654211415093,3.40698020096626,0.0473159248907853,0.0772873881642347,7.0930562454466
AMT18,19.7224,-38.2301,2.5,6.09512654220581,0.590023882448813,0.359473529433302,2.72008903141661,0,0.154574776328469,9.91928776183301
AMT18,18.7886,-37.5779,4.6,4.41004332056511,0.359186930074335,0.277695488065872,1.83170978546573,0.0473159248907853,0.154574776328469,7.08052622539031
AMT18,16.8105,-36.2068,3.4,7.97617097649947,0.852707069891677,0.459181515699474,2.54607660179737,0,0.128812313607058,11.962948477495
AMT18,14.9192,-34.9221,3.2,7.72313368249128,1.15071062713766,0.453496411219385,2.41785691681477,0,0.257624627214116,12.0028222648772
AMT18,14.0932,-34.3602,5.1,5.13790428644023,0.912539390323189,0.300435905986227,1.74928284511978,0.496817211353246,0.0515249254428231,8.64850456466549
AMT18,11.8206,-32.8242,3,10.521094794112,3.34674979445941,0.620988335517384,1.85002688332039,0.070973887336178,0.128812313607058,16.5386460083524
AMT18,10.8916,-32.2064,5.1,7.47636771100238,2.21418187093647,0.470114408930414,2.54607660179737,0.212921662008534,0.0772873881642347,12.9969496428394
AMT18,8.6438,-30.7085,2.8,7.76890024402242,4.16355747209218,0.536586399774528,2.92157710781784,0.189263699563141,0.206099701771293,15.7859846250414
AMT18,7.6627,-30.0594,5.6,5.57066077241942,2.14971737085865,0.522592296438925,2.38122272110545,0.189263699563141,0.154574776328469,10.9680316367141
AMT18,5.3398,-28.5213,3.6,5.41842265665649,2.57877301059817,0.533087873940627,1.5020020240819,0.0236579624453927,0.0515249254428231,10.1074684531654
AMT18,5.139,-28.391,4.9,4.67262852694815,3.40330098764145,0.489793616746105,2.18889319363155,0.0473159248907853,0.257624627214116,11.0595568770722
AMT18,2.791,-26.854,6.2,6.65679746132006,2.09123610282397,0.491980195392293,2.19805174255888,0.0236579624453927,0.128812313607058,11.5905357781477
AMT18,1.8314,-26.2158,4.2,7.17668305173843,0.554124490189906,0.468365146013463,1.72180719833779,0.0473159248907853,0.0772873881642347,10.0455831993346
AMT18,-0.5837,-24.996,6.3,12.3588389173035,1.61373558428346,1.20174362394491,3.37034600525695,0,0.103049850885646,18.6477139816744
AMT18,-1.6265,-24.9955,4.8,6.86153147907021,0.550843362940436,0.625798808538997,1.65769735584649,0.0236579624453927,0.180337239049881,9.8998662078914
AMT18,-6.0521,-24.978,6.8,8.52737794736525,0.248979655989195,0.438190360696069,1.88666107902971,0,0.128812313607058,11.2300213566873
AMT18,-8.8254,-24.9954,3.8,7.61521761015112,0.314023178522806,0.541834188525379,1.31883104553533,0,3.09149552656939,12.881401549304
AMT18,-9.9753,-24.9994,5.8,4.36501663416265,0.31228611115544,0.399706576523161,2.38122272110545,0,0.0772873881642347,7.53551943111094
