Lat,Lon
-1.074,-24.995
-1.074,-24.995
-1.15,-24.982
-1.293,-24.983
-1.461,-24.99
-1.663,-24.992
-1.832,-24.99
-1.972,-24.99
-2.173,-24.989
-2.331,-24.988
-2.528,-24.987
-2.71,-24.986
-2.889,-24.986
-3.07,-24.985
-3.271,-24.982
-3.453,-24.986
-3.653,-24.986
-3.689,-24.98
-3.781,-24.98
-3.963,-24.983
-4.149,-24.982
-4.308,-24.982
-4.487,-24.98
-4.654,-24.979
-4.865,-24.977
-4.865,-24.977
-4.865,-24.977
-4.985,-24.973
-5.141,-24.971
-5.339,-24.972
-5.517,-24.971
-5.661,-24.97
-5.86,-24.969
-6.044,-24.968
-6.221,-24.967
-6.405,-24.969
-6.579,-24.968
-6.762,-24.966
-6.941,-24.964
-7.12,-24.962
-7.296,-24.962
-7.5,-24.96
-7.549,-24.959
-7.598,-24.958
-7.801,-24.959
-7.968,-24.959
-8.137,-24.957
-8.329,-24.956
-8.446,-24.956
-8.665,-24.954
-8.665,-24.954
-8.665,-24.954
-8.763,-24.948
-8.907,-24.946
-9.077,-24.952
-9.257,-24.952
-9.397,-24.949
-9.582,-24.948
-9.765,-24.947
-9.974,-24.945
-10.143,-24.944
-10.323,-24.942
-10.487,-24.942
-10.653,-24.943
-10.813,-24.939
-10.996,-24.938
-11.223,-24.938
-11.262,-24.939
-11.355,-24.933
-11.537,-24.936
-11.691,-24.934
-11.877,-24.933
-12.028,-24.932
-12.083,-24.93
-12.083,-24.93
-12.083,-24.93
-12.083,-24.93
-12.102,-24.928
-12.304,-24.94
-12.491,-24.98
-12.177,-24.97
-12.823,-24.958
-13.026,-24.95
-13.218,-24.955
-13.414,-24.96
-13.603,-24.964
-13.783,-24.967
-13.969,-24.971
-14.145,-24.977
-14.339,-24.979
-14.541,-24.984
-14.75,-24.989
-14.779,-24.986
-14.878,-24.989
-15.065,-24.997
-15.279,-25.003
-15.422,-25.997
-15.564,-25.003
-15.716,-25.014
-15.913,-25.023
-15.913,-25.023
-15.913,-25.023
-16.032,-25.024
-16.197,-25.031
-16.36,-25.042
-16.502,-25.043
-16.655,-25.047
-16.826,-25.052
-17.988,-25.056
-17.143,-25.06
-17.322,-25.066
-17.471,-25.069
-17.639,-25.072
-17.816,-25.078
-17.955,-25.083
-18.129,-25.086
-18.279,-25.091
-18.339,-25.087
-18.436,-25.089
-18.551,-25.09
-18.553,-25.09
-18.553,-25.09
-18.539,-25.092
-18.5585,-25.089
-18.578,-25.086
-18.578,-25.086
-18.578,-25.086
-18.578,-25.086
-18.573,-25.085
-18.547,-25.08
-18.544,-25.08
-18.613,-25.085
-18.798,-25.084
-18.951,-25.084
-19.152,-25.085
-19.341,-25.084
-19.473,-25.083
-19.643,-25.078
-19.81,-25.075
-19.975,-25.073
-20.152,-25.069
-20.373,-25.066
-20.38,-25.059
-20.433,-25.064
-20.617,-25.061
-20.97,-25.058
-20.792,-25.055
-21.131,-25.051
-21.49,-25.046
-21.49,-25.046
-21.49,-25.046
-21.609,-25.048
-21.737,-25.044
-21.938,-25.036
-22.086,-25.118
-22.231,-25.032
-22.41,-25.129
-22.584,-25.026
-22.807,-25.123
-22.956,-25.017
-23.148,-25.016
-23.338,-25.013
-23.496,-25.009
-23.625,-25.006
-23.791,-25.003
-23.978,-25
-24,-25
-24.068,-25.064
-24.199,-25.191
-24.332,-25.334
-24.462,-25.463
-24.584,-25.598
-24.814,-25.821
-24.814,-25.821
-24.814,-25.821
-24.906,-25.903
-25.005,-26.007
-25.128,-26.143
-25.26,-26.27
-25.378,-26.389
-25.427,-26.464
-25.541,-26.579
-25.684,-26.716
-25.802,-26.822
-25.937,-981.583
-26.083,-27.107
-26.239,-27.255
-26.354,-27.354
-26.489,-27.489
-26.623,-27.623
-26.655,-27.655
-26.671,-27.671
-26.819,-27.819
-26.981,-27.981
-27.103,-27.103
-27.242,-28.242
-27.25,-28.25
-27.253,-28.253
-27.253,-28.253
-27.253,-28.253
-27.411,-28.411
-27.549,-28.549
-27.63,-28.63
-27.762,-28.762
-27.873,-28.873
-27.01,-29.01
-28.134,-29.134
-28.193,-29.263
-28.32,-29.396
-28.446,-29.527
-28.564,-29.649
-28.698,-29.788
-28.822,-29.916
-28.94,-30.035
-29.105,-30.205
-29.128,-30.223
-29.195,-30.302
-29.305,-30.418
-29.426,-30.544
-29.568,-30.681
-29.672,-30.781
-29.916,-31.047
-29.916,-31.047
-29.916,-31.047
-30.006,-31.15
-30.121,-31.272
-30.263,-31.415
-30.388,-31.554
-30.485,-31.66
-30.628,-31.81
-30.755,-31.945
-30.889,-32.086
-30.977,-32.187
-31.109,-32.327
-31.191,-32.415
-31.305,-32.541
-31.404,-32.639
-31.513,-32.754
-31.598,-32.847
-31.614,-32.888
-31.608,-32.892
-31.699,-32.975
-31.808,-33.072
-31.922,-33.187
-32.038,-33.318
-32.278,-33.576
-32.278,-33.576
-32.278,-33.576
-32.373,-33.674
-32.375,-33.675
-32.45,-33.757
-32.556,-33.876
-32.67,-34.001
-32.814,-34.156
-32.85,-34.193
-33.05,-34.413
-33.156,-34.526
-33.263,-34.646
